KEY,FREQ,ADJUSTMENT,REF_AREA,COUNTERPART_AREA,REF_SECTOR,COUNTERPART_SECTOR,ACCOUNTING_ENTRY,STO,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICES,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,EMBARGO_DATE,TIME_FORMAT,COMMENT_TS,COMPILING_ORG,CURRENCY,DATA_COMP,DECIMALS,DISS_ORG,LAST_UPDATE,REF_PERIOD_DETAIL,REF_YEAR_PRICE,REPYEAREND,REPYEARSTART,TABLE_IDENTIFIER,TIME_PER_COLLECT,TITLE,TITLE_COMPL,UNIT_MULT,COMMENT_DSET
IDCM.A.N.6O.W0.S1.S1.B.B5G._Z._Z._Z.USD.V.N,A,N,6O,W0,S1,S1,B,B5G,_Z,_Z,_Z,USD,V,N,2000,29099689,A,F,,,,P1Y,"Balance of primary incomes, gross / National income, gross - OECD (Organisation for Economic Co-operation and Development) - World (all entities, including reference area, including IO), Total economy, US dollar, Current prices, Non transformed data, Neither seasonally adjusted nor calendar adjusted data",6O0,,,2,6O0,,C,,,,,S,"Balance of primary incomes, gross / National income, gross",,6,
IDCM.A.N.6O.W0.S1.S1.B.B5G._Z._Z._Z.USD.V.N,A,N,6O,W0,S1,S1,B,B5G,_Z,_Z,_Z,USD,V,N,2001,30272258,A,F,,,,P1Y,"Balance of primary incomes, gross / National income, gross - OECD (Organisation for Economic Co-operation and Development) - World (all entities, including reference area, including IO), Total economy, US dollar, Current prices, Non transformed data, Neither seasonally adjusted nor calendar adjusted data",6O0,,,2,6O0,,C,,,,,S,"Balance of primary incomes, gross / National income, gross",,6,
IDCM.A.N.6O.W0.S1.S1.B.B5G._Z._Z._Z.USD.V.N,A,N,6O,W0,S1,S1,B,B5G,_Z,_Z,_Z,USD,V,N,2002,31377072,A,F,,,,P1Y,"Balance of primary incomes, gross / National income, gross - OECD (Organisation for Economic Co-operation and Development) - World (all entities, including reference area, including IO), Total economy, US dollar, Current prices, Non transformed data, Neither seasonally adjusted nor calendar adjusted data",6O0,,,2,6O0,,C,,,,,S,"Balance of primary incomes, gross / National income, gross",,6,
IDCM.A.N.6O.W0.S1.S1.B.B5G._Z._Z._Z.USD.V.N,A,N,6O,W0,S1,S1,B,B5G,_Z,_Z,_Z,USD,V,N,2003,32532831,A,F,,,,P1Y,"Balance of primary incomes, gross / National income, gross - OECD (Organisation for Economic Co-operation and Development) - World (all entities, including reference area, including IO), Total economy, US dollar, Current prices, Non transformed data, Neither seasonally adjusted nor calendar adjusted data",6O0,,,2,6O0,,C,,,,,S,"Balance of primary incomes, gross / National income, gross",,6,
IDCM.A.N.6O.W0.S1.S1.B.B5G._Z._Z._Z.USD.V.N,A,N,6O,W0,S1,S1,B,B5G,_Z,_Z,_Z,USD,V,N,2004,34578437,A,F,,,,P1Y,"Balance of primary incomes, gross / National income, gross - OECD (Organisation for Economic Co-operation and Development) - World (all entities, including reference area, including IO), Total economy, US dollar, Current prices, Non transformed data, Neither seasonally adjusted nor calendar adjusted data",6O0,,,2,6O0,,C,,,,,S,"Balance of primary incomes, gross / National income, gross",,6,
IDCM.A.N.6O.W0.S1.S1.B.B5G._Z._Z._Z.USD.V.N,A,N,6O,W0,S1,S1,B,B5G,_Z,_Z,_Z,USD,V,N,2005,36527206,A,F,,,,P1Y,"Balance of primary incomes, gross / National income, gross - OECD (Organisation for Economic Co-operation and Development) - World (all entities, including reference area, including IO), Total economy, US dollar, Current prices, Non transformed data, Neither seasonally adjusted nor calendar adjusted data",6O0,,,2,6O0,,C,,,,,S,"Balance of primary incomes, gross / National income, gross",,6,
IDCM.A.N.6O.W0.S1.S1.B.B5G._Z._Z._Z.USD.V.N,A,N,6O,W0,S1,S1,B,B5G,_Z,_Z,_Z,USD,V,N,2006,39350893,A,F,,,,P1Y,"Balance of primary incomes, gross / National income, gross - OECD (Organisation for Economic Co-operation and Development) - World (all entities, including reference area, including IO), Total economy, US dollar, Current prices, Non transformed data, Neither seasonally adjusted nor calendar adjusted data",6O0,,,2,6O0,,C,,,,,S,"Balance of primary incomes, gross / National income, gross",,6,
IDCM.A.N.6O.W0.S1.S1.B.B5G._Z._Z._Z.USD.V.N,A,N,6O,W0,S1,S1,B,B5G,_Z,_Z,_Z,USD,V,N,2007,41307114,A,F,,,,P1Y,"Balance of primary incomes, gross / National income, gross - OECD (Organisation for Economic Co-operation and Development) - World (all entities, including reference area, including IO), Total economy, US dollar, Current prices, Non transformed data, Neither seasonally adjusted nor calendar adjusted data",6O0,,,2,6O0,,C,,,,,S,"Balance of primary incomes, gross / National income, gross",,6,
IDCM.A.N.6O.W0.S1.S1.B.B5G._Z._Z._Z.USD.V.N,A,N,6O,W0,S1,S1,B,B5G,_Z,_Z,_Z,USD,V,N,2008,42513604,A,F,,,,P1Y,"Balance of primary incomes, gross / National income, gross - OECD (Organisation for Economic Co-operation and Development) - World (all entities, including reference area, including IO), Total economy, US dollar, Current prices, Non transformed data, Neither seasonally adjusted nor calendar adjusted data",6O0,,,2,6O0,,C,,,,,S,"Balance of primary incomes, gross / National income, gross",,6,
IDCM.A.N.6O.W0.S1.S1.B.B5G._Z._Z._Z.USD.V.N,A,N,6O,W0,S1,S1,B,B5G,_Z,_Z,_Z,USD,V,N,2009,42580764,E,F,,,,P1Y,"Balance of primary incomes, gross / National income, gross - OECD (Organisation for Economic Co-operation and Development) - World (all entities, including reference area, including IO), Total economy, US dollar, Current prices, Non transformed data, Neither seasonally adjusted nor calendar adjusted data",6O0,,,2,6O0,,C,,,,,S,"Balance of primary incomes, gross / National income, gross",,6,
